trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response
1 333.399615363 320.901740692 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
2 81.1846112509 283.029897643 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
3 257.03726945 79.3494125889 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
4 166.385647066 103.443266334 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 right
5 84.6624659127 264.711563791 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
6 263.172171537 85.1386297521 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
7 329.287390811 164.80769657 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
8 65.1841881049 117.74021096 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
9 212.166945195 304.078409261 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
10 328.414861283 236.068571182 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
11 34.6345399896 79.9232461997 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
12 139.439787943 174.145506766 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
13 172.019061646 341.560526946 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
14 128.345704879 138.892178802 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
15 231.081934138 192.541763589 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
16 297.681795665 72.4874329351 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
17 57.2370544983 100.053330612 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
18 292.39962842 142.442249204 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
19 61.3387888878 119.91751166 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
20 234.338470759 311.326323769 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
21 54.9201195532 60.130134579 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
22 55.8742153471 55.4845797413 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
23 71.4653336535 165.452981903 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
24 197.170954857 159.763511091 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
25 62.1661425833 294.078200369 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 right
26 85.0475897946 22.1176625536 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
27 123.486120633 199.127619122 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
28 188.920068416 297.405352361 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
29 236.207799774 115.084386159 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
30 217.451752031 262.280782316 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
31 253.523065667 211.675566466 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
32 12.7351140511 114.984752777 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
33 95.8939346099 16.1461292604 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
34 263.182307465 32.3822907552 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
35 57.9631301466 98.8948703276 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
36 146.244016903 17.7343823941 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
37 210.289036181 149.060470064 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
38 247.207371518 105.458303095 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
39 150.821046407 358.704345569 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
40 38.5655970284 132.449850579 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
41 143.314724548 179.879500668 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
42 225.953813037 120.172148616 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 right
43 268.168909999 164.119255244 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
44 42.1789429305 70.5241094839 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
45 116.821480069 91.5151602003 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
46 70.3017271443 295.966236636 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
47 189.364320751 110.308476194 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
48 224.774434814 358.712277426 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
49 198.247315214 19.3020530424 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
50 144.802294323 293.217983726 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 right
51 217.869064342 249.075249753 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
52 252.151570922 161.986647049 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
53 164.785477422 118.893098112 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
54 63.8567871168 329.097204627 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
55 277.334981763 86.5625966569 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
56 46.0837116098 276.963246872 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
57 30.1640584201 301.541837185 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
58 293.981743615 343.237096547 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
59 341.65266236 5.50775519337 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
60 22.8142036013 247.666189091 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
61 291.866328123 37.0174301173 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
62 102.218567949 269.209862393 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
63 230.247562914 139.249329646 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
64 143.629056792 123.978048577 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
65 5.23187829906 4.79164131693 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
66 117.595283213 268.644643707 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
67 279.966473669 45.2007905428 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
68 139.861441026 126.885967816 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
69 90.8895810054 201.578506628 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
70 79.8987680977 152.980811451 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
71 355.79278543 279.043863404 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
72 224.739309475 99.7932626987 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
73 152.462268547 101.090153865 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
74 318.168383064 174.172464907 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
75 37.3539186771 242.88152875 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
76 31.6165477999 75.919311527 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
77 73.4913478387 2.53183845839 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
78 117.156740093 211.795526195 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
79 194.152778858 16.8537985536 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
80 113.898320465 31.4024785137 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 left
81 170.277849472 56.704890428 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 right
82 112.133142021 348.980307231 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
83 324.455546539 223.27051233 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
84 111.100120836 76.8459312518 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
