trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 215.502233092 330.23308456 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -1784.74776691 3.18813490868
2 169.000013898 255.626923917 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -4087.9999861 4.30710196495
3 137.797719504 190.084366663 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 4187.7977195 4.50767803192
4 243.496585427 24.4967594187 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 3120.49658543 4.57331204414
5 298.712454088 256.877993822 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2237.46245409 4.31653189659
6 268.372341526 346.065450257 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3988.37234153 5.17432689667
7 100.12502864 199.464819522 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3302.62502864 5.09007000923
8 90.5240089102 124.539649847 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 4603.27400891 4.56664705276
9 118.444122247 131.367911771 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1970.30587775 4.64232707024
10 350.126399467 284.702482284 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1326.87360053 4.66556787491
11 336.786339036 27.7865961444 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2736.78633904 5.34091305733
12 67.3984233166 43.4726512875 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2803.60157668 5.32477784157
13 335.575849275 307.206387293 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -4623.42415072 4.59280896187
14 174.758657803 304.835477828 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 4211.2586578 4.98588180542
15 92.6336018114 232.293319783 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1317.36639819 3.9243080616
16 3.10205119908 242.407461294 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4540.6020512 5.04945898056
17 331.432507761 253.588521738 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 3080.93250776 5.10010695457
18 338.798027817 270.174296224 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -2008.70197218 5.21747994423
19 256.477200036 74.3076063502 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 5602.47720004 4.95795917511
20 126.797859948 215.476571769 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 5319.79785995 4.81509804726
21 208.878704302 39.4714139488 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -2270.6212957 4.59920191765
22 275.705356767 150.017814968 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 9999 9999
23 312.349508002 91.2739199484 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 366.349508002 0.0751690864563
24 190.534592364 101.261236363 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 5454.03459236 5.32532596588
25 133.34938874 154.348550665 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -4598.40061126 5.8489279747
26 110.32574792 313.431093779 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -3984.67425208 4.55261397362
27 81.1743409871 7.75477550087 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2475.17434099 4.44046807289
28 321.102731181 124.423777657 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3542.89726882 5.36892294884
29 75.3715386119 21.214062372 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -3436.87846139 5.58229589462
30 307.364240126 104.751462994 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3724.63575987 5.60819005966
31 283.583997928 201.205640675 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -4720.41600207 4.64196491241
32 293.184559568 20.8995425259 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 2276.18455957 5.51080918312
33 280.067647416 151.125592665 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 4336.06764742 5.6419801712
34 204.514906468 142.239133115 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -4167.98509353 4.42293691635
35 222.730732322 330.268781468 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1710.73073232 4.15803408623
36 22.1942622717 206.745629246 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -4627.80573773 5.17351508141
37 64.3293240419 127.017482446 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -3048.92067596 4.94940400124
38 80.5922363405 354.51856593 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2645.59223634 5.70785593987
39 243.329637637 93.1860266716 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2781.32963764 4.70225000381
40 49.2100945154 50.2388507958 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1348.78990548 3.88523077965
41 331.646455095 97.1200926215 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3220.3535449 4.94016885757
42 79.900523365 234.253152159 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -2453.59947664 4.69306492805
43 319.298467785 230.76690033 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 9999 9999
44 81.6480196019 268.265976333 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 81.6480196019 0.000880002975464
45 233.306201761 204.328461641 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -4707.69379824 4.58262586594
46 93.1350630851 59.0799366614 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 5385.13506309 4.90771102905
47 170.67298071 42.7166593315 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 5178.42298071 5.05897808075
48 82.0955304894 125.879956786 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1732.09553049 4.5909280777
49 136.232232262 248.189536009 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2153.73223226 4.49138903618
50 296.238586576 307.531386769 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3330.73858658 4.81931519508
51 309.918802253 272.42483558 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -3455.08119775 4.19065904617
52 109.189149499 310.075171193 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -4279.8108505 4.43488311768
53 242.782607632 192.612041902 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 3991.28260763 5.95757699013
54 184.603944585 117.271680984 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 184.603944585 0.0
55 135.32119192 103.856506604 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 5212.82119192 5.64328598976
56 8.62447373844 10.4673307547 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 4119.37447374 5.08275604248
57 327.657434768 199.222776555 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -3411.84256523 4.61942315102
58 215.706665513 265.481394382 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -4957.04333449 5.22574305534
59 89.3997379864 114.927138654 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3773.39973799 5.1253259182
60 249.756271172 49.9158607528 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1337.24372883 4.41057300568
61 358.008471889 46.0920597867 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3607.99152811 5.51712298393
62 193.870984702 151.262727137 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1402.8709847 3.36688303947
63 355.486733315 116.224041125 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 4918.48673331 4.22533321381
64 40.0786507095 202.6614105 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -2056.17134929 4.66608405113
65 342.268465457 215.529556582 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -3842.73153454 5.16817879677
66 71.9585880347 188.816607328 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 4832.20858803 4.81686592102
67 261.418561186 150.201360633 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2222.58143881 4.60183095932
68 191.307635486 112.142546332 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -2178.69236451 5.27338385582
69 137.167368992 197.935579444 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -4062.83263101 4.67365288734
70 228.2496299 159.413655417 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3846.2496299 5.03265786171
71 163.468979714 211.939848618 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4505.96897971 4.83232712746
72 316.589644072 323.561575882 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -5227.41035593 5.13591694832
73 161.350114991 314.138729765 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 4434.10011499 5.28231501579
74 208.195241549 244.991055548 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2555.69524155 5.22421598434
75 76.3753803098 133.132733177 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1522.37538031 4.02448701859
76 8.20494219105 60.3126153167 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -3751.54505781 4.64959001541
77 242.604245597 186.3888444 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 4136.6042456 5.41609597206
78 57.3412142057 190.207579696 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2345.65878579 4.45858812332
79 98.7987409173 113.395022444 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4388.79874092 4.77403306961
80 122.880060392 219.03560792 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -2859.11993961 4.73538613319
81 21.6650612914 219.302420427 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3771.66506129 5.21700191498
