trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 186.847691936 13.2466090395 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -3195.65230806 3.76958608627
2 164.634794823 215.158802175 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2648.63479482 4.60806298256
3 309.477797127 117.51518678 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -3355.77220287 4.53358316422
4 120.670070034 104.041434067 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 3915.67007003 4.21889209747
5 345.942249638 120.727603217 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3483.94224964 4.36624288559
6 110.455852853 274.024975427 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1871.45585285 4.89992499352
7 158.679183721 172.403872912 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1054.17918372 3.32438206673
8 142.908080943 254.679877686 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3181.09191906 4.61944293976
9 16.7116533319 83.6383492934 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2229.21165333 4.92474794388
10 188.253266795 320.537768678 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 4245.00326679 5.00949597359
11 95.3335525213 80.1206645562 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3371.33355252 5.20237493515
12 118.139526223 101.230925948 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2240.63952622 4.72453117371
13 140.862011664 180.020461229 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -1209.13798834 5.00186300278
14 66.9646611829 279.44290607 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -3087.53533882 5.8486931324
15 314.764441114 123.014106714 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2336.48555889 4.20891213417
16 276.862533975 313.803195627 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1602.86253398 3.69158005714
17 207.701157009 254.791120277 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 3449.95115701 3.28246307373
18 52.6619809576 182.813203945 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -5318.08801904 5.43333792686
