trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response
1 58.3191475118 202.885610411 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
2 357.694711903 32.5764106161 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
3 279.208704843 131.510895793 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 left
4 219.475680335 349.377230233 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
5 177.910997868 258.027209059 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
6 328.343347947 9.51630516714 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
7 215.103070442 346.44128806 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
8 241.284110686 33.0774787096 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
9 207.63805142 348.12116415 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
10 213.53080687 60.4086904033 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
11 82.3337199695 273.051139044 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
12 153.920835654 304.925420774 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
13 358.079505449 275.340452544 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
14 75.431421292 72.2569121056 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
