trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 3.80636648282 132.359128916 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 2951.30636648 3.28552603722
2 351.467066649 18.167839245 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -2726.53293335 3.80784201622
3 291.993232264 258.3707027 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2303.49323226 3.73171114922
4 5.61252276841 102.020923706 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1185.38747723 3.3166949749
5 130.755501644 233.248799418 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 1675.75550164 3.43507003784
6 241.067559331 92.4648874661 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -2423.68244067 2.69951510429
7 228.220897587 309.258108576 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3341.77910241 4.96617507935
8 219.987426676 17.3631080773 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 3729.98742668 3.25713205338
9 174.644435329 6.21201817206 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1416.64443533 3.45880103111
10 152.987073185 238.297003243 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 3502.48707318 2.66588306427
11 335.699001641 262.947921224 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 3693.44900164 3.39387106895
12 288.375826373 342.986410257 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 1053.37582637 2.8411591053
13 16.4630089999 148.251229039 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 2998.463009 4.14864802361
14 252.811074443 193.13360421 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -498.688925557 2.78526496887
15 317.808850556 219.934246225 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -3480.19114944 3.52542901039
16 118.252692471 16.3407580957 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 -3255.24730753 2.89100813866
17 264.062583684 132.371361239 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 2628.06258368 3.29181003571
