trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response responseTime
1 51 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 2.25 3.0 -2419.5 3.05787014961
2 349 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 3.5 3.0 4360.0 3.18995308876
3 150 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.75 3.0 -1997.25 3.41589999199
4 37 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 2.0 3.0 -2873.0 4.04963707924
5 177 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.5 3.0 3994.5 4.24840402603
6 83 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.25 3.0 3707.75 4.48366093636
7 70 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 3.0 3.0 -4070.0 3.8410089016
8 265 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 1.25 3.0 1821.25 3.4672460556
9 216 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.5 3.0 -3136.5 3.72642016411
10 359 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 3.0 3.0 4355.0 3.70251202583
11 93 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.5 3.0 2113.5 3.74947500229
12 237 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 3.25 3.0 -4716.0 4.24182105064
13 207 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 1.0 3.0 -1146.0 3.76614785194
14 185 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 2.0 3.0 3443.0 4.53319001198
15 133 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.5 3.0 -1784.0 3.55778598785
16 56 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 2.0 3.0 -2746.0 3.89298510551
17 164 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 2.25 3.0 -2833.0 3.70903491974
18 41 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 3.5 3.0 -3739.0 3.00870394707
19 283 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 2.25 3.0 -2383.25 3.29203104973
20 262 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.75 3.0 -4176.5 4.4848959446
21 272 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 2.25 3.0 -2772.25 3.76587176323
22 256 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.25 3.0 1932.25 3.73210883141
23 136 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 2.75 3.0 -3362.0 3.54160189629
24 148 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.75 3.0 -3366.5 3.5576941967
25 202 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 0.75 3.0 -707.0 3.37447500229
26 172 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 2.5 3.0 -3983.0 4.61842107773
27 150 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 1.5 3.0 -2307.0 4.55840921402
28 140 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.5 3.0 -3962.5 4.56544613838
29 148 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 3.5 3.0 5534.5 4.28309488297
30 21 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 1.5 3.0 2595.0 4.77473592758
31 6 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.5 3.0 -2689.5 4.99929404259
32 340 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 3.25 3.0 -5978.0 5.40707993507
33 93 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 3.0 3.0 -5424.0 5.11575007439
34 77 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.0 3.0 2777.0 3.75831604004
35 307 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 2.0 3.0 3331.0 4.20888781548
36 176 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.25 3.0 3510.5 4.1242389679
