trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 5.8180144775 93.2433520807 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1160.81801448 3.2196598053
2 233.829584681 131.395126035 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3887.82958468 5.80684900284
3 237.548692058 257.267829296 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1851.20130794 4.64908790588
4 178.93867823 319.251889934 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -3338.56132177 3.91719508171
5 138.789450597 92.2284932522 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2025.7105494 4.01570892334
6 278.262595125 81.1157475121 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -1787.23740488 2.55718708038
7 30.4628801808 252.781206426 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3228.46288018 4.44966197014
8 104.206199561 0.475438079225 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -2400.79380044 2.79110598564
9 291.496938953 170.186546181 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2601.25306105 4.60011720657
10 150.56822044 228.645716171 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -965.43177956 3.10054397583
11 244.224454213 146.772262115 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2602.22445421 4.37445902824
12 10.2698547863 43.0711192481 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1909.73014521 4.26741099358
13 101.827989632 109.189296921 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 9999 9999
14 185.820410957 120.707685221 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 2446.32041096 2.29182815552
15 184.885237082 25.9891460363 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3055.11476292 4.50864219666
16 245.501251128 44.5337549942 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 3059.50125113 4.4674680233
17 261.80963911 184.253064693 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3759.80963911 4.86649894714
18 183.258881816 139.267508006 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 4219.75888182 4.99115586281
19 2.67957708684 27.8812230752 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -2451.32042291 3.416629076
20 277.229026604 126.705908044 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2395.9790266 4.71623587608
21 110.964867838 154.956946693 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -872.285132162 3.64298391342
22 283.711811221 205.309994817 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -2241.53818878 4.01534605026
