trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 195.511552146 39.6917102164 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1122.51155215 3.44159817696
2 60.4357316364 54.660089034 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 3127.93573164 3.41598916054
3 58.9683061656 3.87351467553 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 -3374.53169383 2.73265719414
4 214.631982451 126.663511858 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -4108.36801755 4.3740940094
5 296.860774141 33.0737927327 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3908.86077414 5.01942896843
6 167.983982045 179.831732344 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1248.01601796 3.94091510773
7 331.365959128 143.171340268 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3889.36595913 4.95032501221
8 295.105962194 61.7732592542 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -463.144037806 2.81640100479
9 154.982567182 139.463680915 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -3103.01743282 3.02520394325
10 351.446110709 314.945642732 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1122.30388929 3.28271603584
11 212.187068916 25.2382697091 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -2420.31293108 2.93321490288
12 175.905101133 96.6494463141 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -2632.84489887 4.46005511284
13 193.798707285 65.4717389328 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 3130.79870728 2.97475600243
14 55.2920369035 17.3988243147 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 -3386.4579631 2.94826602936
15 188.770808032 96.0230519695 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -434.479191968 2.31532502174
16 186.728973297 359.626464103 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -2873.2710267 2.83460211754
17 45.0888427226 344.404958403 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 None None
18 212.371193041 343.094355015 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 189.871193041 0.0483889579773
19 226.662411465 289.790836812 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1291.66241147 2.96712088585
20 79.8001264098 245.137111227 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -3253.94987359 5.29951190948
21 65.9942917809 329.922855317 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1827.75570822 4.20858597755
22 6.56256084147 114.727621737 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 841.312560841 3.10019922256
23 194.213655297 53.1434689846 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 3794.2136553 4.0010330677
24 340.757635994 170.410337689 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -3124.24236401 3.50720596313
25 279.768714828 89.7819048382 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 2847.01871483 4.08264398575
26 284.486643573 50.170726849 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 2484.23664357 3.4989130497
27 138.816458776 279.510026395 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 3249.06645878 2.66554403305
28 93.245171639 56.3799329238 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2305.25482836 4.44956898689
29 175.7763284 97.1883930692 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 3170.5263284 3.03282308578
30 229.060725909 357.424911305 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 3378.31072591 2.69916987419
31 22.4099409993 38.51435645 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -3096.090059 3.85690498352
32 222.537491959 219.074421559 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -2873.46250804 4.3077249527
33 214.516724842 316.350070367 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -2803.48327516 4.20041012764
34 276.437288999 354.191307357 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2368.937289 3.88311004639
35 283.456622113 82.4296733414 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2053.45662211 3.93519687653
36 288.884921767 218.119693931 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 None None
37 57.6794439448 330.736393648 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 -2703.82055606 2.19897580147
38 201.074468772 314.425184886 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 1719.82446877 3.38340997696
39 68.9600255016 106.038095959 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -957.039974498 2.85776686668
40 237.18026918 352.012795075 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 2874.18026918 2.449655056
41 106.7908947 182.731847769 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 2746.0408947 3.26682186127
42 27.3045544509 145.422063313 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 -3219.44544555 2.78318095207
43 164.624533184 346.508290996 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 2774.62453318 2.42540884018
44 269.253842805 356.212848542 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 3293.2538428 2.40727901459
45 297.011699687 327.66282793 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 3552.01169969 2.59180378914
46 133.14168451 70.6519629777 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1138.14168451 2.79855179787
47 105.745145326 159.442233258 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -3039.75485467 3.88359904289
48 305.308769503 174.103059388 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 3255.0587695 3.6493268013
49 213.057921232 200.573289821 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3310.55792123 4.9237101078
50 98.6929599198 128.313889285 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 2895.44295992 2.83256602287
51 159.786829192 48.7286380217 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -1397.21317081 2.88520002365
52 295.543846968 250.837496919 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1447.54384697 3.20840787888
53 138.31577882 301.883027879 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3084.31577882 4.09234619141
54 288.158103107 45.3236818258 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 -2646.59189689 2.51595115662
55 236.096798933 123.184301074 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -2621.40320107 5.2927031517
56 312.64052776 180.113484007 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -2170.60947224 2.51630592346
57 5.94498301547 64.4696337605 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -2460.05501698 2.29029798508
58 46.6900549556 104.801900334 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3961.30994504 5.57444190979
59 135.993939849 8.99899671102 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -2504.00606015 2.94019699097
60 337.68012212 49.2320164638 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1102.68012212 2.83488893509
61 84.9417731667 94.3741517834 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -3516.55822683 5.72443604469
62 244.083261047 41.0733211755 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2566.08326105 4.30798888206
63 239.90114644 269.214259206 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 2992.40114644 3.05976104736
64 91.7697115325 298.146599128 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -3420.48028847 5.5816860199
