trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response responseTime
1 334 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 1.0 3.0 1297.0 2.67863798141
2 20 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 1.25 3.0 1493.75 3.27694892883
3 358 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 3.5 3.0 4022.5 2.90972399712
4 338 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 3.5 3.0 -3158.5 2.78382301331
5 237 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 2.25 3.0 2694.0 3.04179096222
6 330 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 1.0 3.0 1326.0 2.77376198769
7 50 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 3.5 3.0 3809.0 3.05205512047
8 31 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 2.75 3.0 3034.0 3.04144597054
9 345 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 2.75 3.0 -3004.5 3.385024786
10 155 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 1.75 3.0 1966.25 2.88276410103
11 92 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 3.0 3.0 -2923.0 2.79265189171
12 218 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.5 3.0 -2219.5 2.7160089016
13 178 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 1.5 3.0 1685.5 2.79263782501
14 101 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 1.75 3.0 1807.25 2.71617889404
15 123 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 2.5 3.0 2605.5 2.7598798275
16 167 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 1.5 3.0 1697.0 2.84094905853
17 157 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.0 3.0 2005.0 2.56849503517
18 250 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 2.25 3.0 -1856.0 2.60799407959
19 341 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.75 3.0 -2398.0 2.767827034
20 35 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 1.5 3.0 -1567.0 2.96812391281
21 168 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 1.0 3.0 -1206.0 3.82405114174
22 237 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.0 3.0 -669.0 2.52464699745
23 178 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 3.25 3.0 -3429.5 3.09162521362
24 342 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 3.25 3.0 -2973.0 2.84104394913
25 305 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.25 3.0 -1841.5 2.65720200539
26 309 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 1.75 3.0 2204.25 3.0170519352
27 248 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.25 3.0 -989.5 2.75844502449
28 110 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.25 3.0 -1071.25 2.63370299339
29 124 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 1.25 3.0 -1859.75 4.4163210392
30 243 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.25 3.0 -1287.0 3.40801715851
31 60 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 1.5 3.0 -1456.5 2.81498217583
32 350 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 1.0 3.0 -487.0 2.32727098465
33 333 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 2.75 3.0 -2620.5 2.99172091484
34 325 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 3.5 3.0 3769.0 2.74174189568
35 93 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 1.5 3.0 1470.0 2.55829620361
36 191 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 1.0 3.0 1715.0 4.24093294144
37 41 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 2.0 3.0 2453.0 3.3580160141
38 169 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 2.0 3.0 2341.0 3.02561497688
39 181 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 3.25 3.0 4285.75 3.51039791107
40 8 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 1.25 3.0 1628.0 3.60837006569
41 13 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 2.75 3.0 -3889.25 3.9492919445
42 212 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 2.75 3.0 -3937.75 4.20003700256
43 264 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 1.75 3.0 -1615.5 2.99191617966
44 267 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 1.75 3.0 1962.75 2.69317007065
45 253 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 1.0 3.0 1180.0 2.58370304108
46 349 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 0.75 3.0 -449.75 2.96516108513
47 162 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 2.25 3.0 3118.5 3.65202498436
48 280 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.5 3.0 -2592.5 3.19985699654
49 66 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.75 3.0 -1771.5 2.92454600334
50 139 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 3.0 3.0 3622.0 3.23290395737
51 49 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 3.25 3.0 4017.25 3.40757513046
52 359 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 0.75 3.0 1229.75 3.22637104988
53 355 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 3.25 3.0 -3915.5 3.65748906136
54 40 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 2.5 3.0 3070.0 3.37407779694
55 52 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 3.5 3.0 6541.0 5.15674519539
56 272 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 2.0 3.0 -2044.0 3.21811795235
57 102 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 1.75 3.0 1724.25 2.58345293999
58 139 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 1.25 3.0 -1083.5 2.72525787354
