received sent
-2.001073 -2.022296 
 -4.000921 -4.014551 
 -6.001031 -6.014633 
 -8.000146 -8.014884 
 -10.000078 -10.014810 
 -12.001051 -12.014853 
 -14.000657 -14.015108 
 -16.001052 -16.014915 
 -18.001025 -18.015262 
 -20.001085 -20.015410 
 -22.001075 -22.015585 
 -24.001022 -24.015668 
 -26.001058 -26.015596 
 -28.001013 -28.015564 
 -30.001031 -30.023915 
 -32.000137 -32.015972 
 -34.001012 -34.016204 
 -36.001047 -36.016060 
 -38.001038 -38.016186 
 -40.001048 -40.016365 
 -42.000139 -42.016391 
 -44.000162 -44.016618 
 -46.000175 -46.016644 
 -48.000221 -48.016636 
 -50.000261 -50.008991 
 -52.000281 -52.016842 
 -54.000335 -54.017175 
 -56.000350 -56.008952 
 -58.000383 -58.017062 
 -60.000438 -60.017237 
 -62.000468 -62.017464 
 -64.000486 -64.017402 
 -66.000525 -66.017452 
 -68.000537 -68.017468 
 -70.000568 -70.017640 
 -72.000664 -72.017708 
 -74.000641 -74.017980 
 -76.000672 -76.018099 
 -78.000703 -78.018086 
 -80.000728 -80.018122 
 -82.000767 -82.010239 
 -84.000814 -84.018498 
 -86.000847 -86.018479 
 -88.000845 -88.018492 
 -90.000920 -90.010660 
 -92.000934 -92.018703 
 -94.000936 -94.018788 
 -96.001004 -96.010985 
 -98.000985 -98.019018 
 -100.001070 -100.019211 
 -102.001058 -102.011382 
 -104.001043 -104.019372 
 -106.000869 -106.011396 
 -108.001011 -108.019494 
 -110.000839 -110.019602 
 -112.001041 -112.011691 
 -114.001079 -114.019748 
 -116.000990 -116.019939 
 -118.001071 -118.011978 
 -120.000966 -120.020068 
 -122.001016 -122.020247 
 -124.001000 -124.020276 
 -126.001012 -126.020370 
 -128.001077 -128.020520 
 -130.000900 -130.020579 
 -132.000907 -132.020690 
 -134.000680 -134.012765 
 -136.000903 -136.012866 
 -138.001059 -138.021038 
 -140.001071 -140.013221 
 -142.001020 -142.013256 
 -144.001081 -144.021571 
 -146.001015 -146.013350 
 -148.001044 -148.013600 
 -150.001024 -150.021651 
 -152.001017 -152.013773 
 -154.001006 -154.013931 
 -156.001026 -156.013766 
 -158.000978 -158.013919 
 -160.000987 -160.022017 
 -162.000928 -162.014313 
 -164.001073 -164.014227 
 -166.001054 -166.014400 
 -168.001062 -168.014602 
 -170.000916 -170.014588 
 -172.001054 -172.014827 
 -174.000635 -174.014921 
 -176.001026 -176.014817 
 -178.001068 -178.014893 
 -180.001085 -180.015177 
 -182.001060 -182.015336 
 -184.001036 -184.015370 
 -186.001015 -186.015469 
 -188.000992 -188.015382 
 -190.001046 -190.015507 
 -192.001076 -192.015665 
 -194.000988 -194.015727 
 -196.000996 -196.016077 
 -198.001071 -198.015954 
 -200.001070 -200.016041
