trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 270.439533878 285.425892784 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 3071.68953388 3.4714038372
2 60.4015129348 262.159304419 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 2800.90151293 4.35793781281
3 339.641266277 30.2412981338 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1605.64126628 3.52508306503
4 76.717784524 231.384606434 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -2075.78221548 4.78579711914
5 351.328262388 131.85466262 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 4476.32826239 4.16809988022
6 280.232839069 248.07940195 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -5128.76716093 5.01614809036
7 348.903924111 318.553635846 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 4812.15392411 4.51565980911
8 18.8212586797 244.400183764 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -2231.17874132 5.00742101669
9 280.596712982 270.795081902 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 5779.59671298 5.1002061367
10 273.713210097 60.6216176829 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 5061.7132101 4.4408531189
11 249.102909717 215.258284765 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3410.89709028 5.09181499481
12 298.985056269 20.4445322193 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 4456.98505627 5.78354001045
13 293.65323025 81.2945206693 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 4161.40323025 4.7821559906
14 323.81749191 353.090193131 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3000.18250809 4.62513208389
15 212.685138342 356.719104916 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -3904.81486166 5.09098601341
16 209.124092734 268.628700451 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -4470.87590727 5.20776796341
17 172.492148635 18.0336894112 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2455.50785137 4.87517595291
18 288.603091793 170.889952183 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -4601.39690821 5.44172906876
19 165.414824977 228.292130567 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -2750.58517502 5.40852713585
20 352.36808248 352.221957651 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 4054.36808248 5.14971709251
21 210.706174348 326.260039764 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1713.70617435 4.18176412582
22 3.53650738387 125.10112363 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2604.53650738 4.82416987419
23 250.52125844 310.79334795 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2873.22874156 4.96671915054
24 300.343937961 117.707405025 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -3285.40606204 5.69341015816
25 240.77773556 282.322054949 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -4355.97226444 5.68204092979
26 255.49511868 62.8782445297 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -5016.25488132 5.32659101486
27 212.736481957 96.9504266106 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 3420.48648196 5.09348583221
28 332.053106483 202.094060062 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 4764.55310648 4.92657494545
29 191.150254737 30.9655504371 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 3422.15025474 5.99105715752
30 340.4657023 168.966555135 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 340.4657023 0.0
31 354.289888576 353.071332215 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2259.28988858 4.24003505707
32 18.312496611 91.0693716881 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -5291.68750339 4.92432880402
33 221.717451414 206.249794586 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1209.28254859 3.98222494125
34 172.079516566 237.120138196 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2347.07951657 4.83989214897
35 266.546677751 306.326022771 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4144.04667775 4.31661295891
36 143.535822925 176.421932005 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 9999 9999
37 63.3870224303 119.100961325 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 279.38702243 0.275213003159
38 14.4512075125 323.142021765 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2084.45120751 4.60699105263
39 122.359283045 40.7144689001 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 4082.35928305 4.40644216537
40 233.724826956 285.372439527 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -5382.27517304 5.20759296417
41 159.586165484 116.013179818 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3236.08616548 4.89080691338
42 28.9439386371 314.238314635 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -4493.55606136 5.02659010887
43 244.373136849 52.5356814481 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3958.37313685 5.16606497765
44 136.102101068 307.087153485 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2052.35210107 4.265832901
45 187.283605658 99.6427711857 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2954.78360566 5.13177704811
46 98.4892783399 86.5516101227 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 4985.48927834 4.53370690346
47 257.637971629 264.712011015 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 5397.38797163 5.20179581642
48 189.713306051 64.9513700676 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -4933.53669395 5.1821770668
49 42.8170264839 277.683377691 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -4247.18297352 4.77422809601
50 236.710374111 354.230652402 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2644.21037411 4.46604800224
51 337.209343842 4.62754167389 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1399.04065616 3.86522006989
52 75.7535090104 19.7539692871 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3801.75350901 5.17647910118
53 342.61023482 251.047651849 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -2726.38976518 5.69012618065
54 34.9781063636 295.040620926 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3691.02189364 5.1830599308
55 222.399093565 9.44149755334 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 4924.89909356 4.75259613991
56 276.220797277 327.461398478 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2153.77920272 4.50688099861
57 293.364298864 312.700198603 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -3776.88570114 5.03231501579
58 46.1033274228 324.714840362 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4411.10332742 4.85762000084
59 132.808049304 274.745561942 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -5741.1919507 5.94156908989
60 309.476383367 55.9092486392 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 309.476383367 0.0
61 301.042079752 342.696049132 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 3912.29207975 4.46715593338
62 96.8742314132 208.885714604 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1406.12576859 4.1833088398
63 79.5229087414 83.9570969321 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1453.47709126 4.26691699028
64 353.643582358 57.6800245843 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2302.85641764 4.22355008125
65 298.299033185 127.9794545 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 3422.04903319 4.96078419685
66 262.375864091 66.6979916733 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1648.37586409 3.85716700554
67 64.700401874 328.476464022 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -5191.29959813 4.87450480461
68 67.2728908288 215.402118631 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -3413.47710917 5.52589082718
69 99.8507552753 94.5742261261 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -2292.64924472 5.3178319931
70 248.601633111 174.835236371 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -4273.89836689 5.59011793137
71 338.624914388 204.289515265 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3465.37508561 5.29182982445
72 152.618972642 295.490549693 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1730.61897264 4.39023804665
73 165.654300195 327.271179481 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3567.6543002 5.40822887421
74 206.173470982 161.313577029 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 3162.67347098 5.48345804214
75 68.0818931859 66.3682180594 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -4931.41810681 5.05781602859
76 254.116436026 143.510860016 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 4865.86643603 4.66615509987
77 173.1501723 152.832351725 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1410.8498277 4.4076218605
78 34.5282886843 203.926061648 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2669.22171132 4.29325699806
79 188.401719022 51.0667679454 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 3529.65171902 4.13275384903
80 138.409915884 325.353680833 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -4566.34008412 5.81550192833
81 62.3634844238 347.005774314 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 3977.36348442 4.35777711868
