trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 106.426395202 44.1820875088 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -3133.5736048 3.61133098602
2 116.123864085 132.887340421 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -3299.37613591 4.22433900833
3 316.101945374 60.8117943189 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 4008.35194537 4.56100487709
4 5.25332291592 333.618358859 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 3597.75332292 3.9922940731
5 225.500969919 112.865396171 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2687.00096992 4.55975413322
6 165.554489389 112.776099862 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1000.30448939 3.09888100624
7 64.5115359563 32.890989188 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 3389.26153596 2.84874892235
8 301.60377942 198.857975873 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -4099.39622058 4.08200097084
9 78.062283581 65.8038678552 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1536.06228358 4.05745387077
10 0.774959326684 346.944986718 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1097.22504067 3.05711913109
11 194.887117635 63.8923771741 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 2692.38711763 2.7826499939
12 42.7744235759 25.2126281893 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 4264.52442358 3.61636805534
13 254.987931622 234.767071921 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 -4142.26206838 3.75955915451
14 158.013741865 32.2546913738 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2426.01374187 4.20786213875
15 202.630233155 317.7586566 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -758.119766845 3.56658792496
16 254.565036254 204.023947538 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 4106.56503625 3.5742418766
17 76.8048786198 50.3534337564 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2563.94512138 4.19961214066
18 206.704669433 329.72747629 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -3672.29533057 3.59985208511
19 347.820248649 188.695627508 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 2941.32024865 4.11868691444
20 98.2083253847 112.575246005 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 3447.70832538 3.39065599442
21 104.078696587 187.07479178 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 1637.82869659 3.41685009003
22 211.690662777 79.4151988196 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1483.69066278 3.5416238308
23 53.1254709243 233.389660277 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1769.37452908 4.05764102936
24 156.191711058 127.891057373 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 840.191711058 2.54149508476
25 304.624638001 224.580358709 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -1615.375362 2.66819000244
26 330.367671441 324.491868913 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1645.88232856 4.40007209778
27 234.242183457 69.0121368409 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3480.24218346 4.50898981094
28 125.620350796 265.389396777 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 -3654.3796492 3.00698280334
29 168.904950363 195.738885489 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 4260.90495036 4.14082098007
30 206.755294131 35.8409809251 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -666.244705869 3.24148201942
