trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 213.242240853 208.672100717 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -655.257759147 3.21815419197
2 271.982130267 207.549484026 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 2240.73213027 3.13225102425
3 288.543649675 136.543842003 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1395.54364967 3.08184194565
4 273.892490751 323.981267804 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -2264.10750925 2.35272312164
5 310.713241698 240.402135525 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1556.7867583 4.15142798424
6 359.711419265 190.233243256 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -1530.28858074 2.33631682396
7 60.9586775074 328.893043434 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 1932.95867751 3.47426700592
8 147.26461817 93.7536893525 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -779.73538183 2.57737207413
9 319.859051416 109.182801804 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 1714.85905142 3.10806202888
10 78.6988383192 263.86539966 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 2118.69883832 2.27404594421
11 294.347738807 286.800444323 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -1330.15226119 3.01598596573
12 240.912426737 355.560145192 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 2853.91242674 2.24140381813
13 354.209345025 186.824665543 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -341.040654975 2.58278107643
14 305.31863755 327.415736897 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 3309.06863755 3.71640205383
15 22.5050079171 99.971926989 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -3055.49499208 3.80666708946
16 261.341419913 150.960978887 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -2964.40858009 3.26603007317
17 115.363463429 86.3942395232 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4172.86346343 4.5109269619
18 230.947356088 323.8222201 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3176.19735609 4.68273186684
19 222.010189072 226.390203248 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 1665.76018907 3.21547913551
20 89.587893574 16.9502347609 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2632.91210643 5.04899907112
21 109.756370938 208.93050307 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -3632.74362906 4.16639304161
22 125.838190155 97.9216244488 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 985.338190155 3.1911239624
23 98.3025045099 155.508658639 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -4150.44749549 4.29291892052
24 22.6122561035 115.996768388 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 3099.1122561 2.44924092293
25 209.432580161 34.7529893843 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 906.932580161 2.59089803696
26 225.232712562 8.97695543589 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 -2693.76728744 2.3251478672
27 297.23377819 292.371139186 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 -2403.51622181 2.31027007103
28 79.8070489212 356.620061606 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 2967.30704892 2.29407191277
29 160.646637004 66.4140144889 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 2716.646637 2.37416887283
30 33.1523243583 283.605183421 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -3049.34767564 3.43246412277
31 195.886523318 23.7885383595 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2114.11347668 3.6693508625
32 16.3051957094 253.608227734 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 2726.80519571 2.32323718071
33 299.839443538 149.53643898 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 3723.58944354 3.46618700027
34 149.552588008 129.865251419 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3809.55258801 5.08511805534
35 262.069524099 65.4536555896 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3838.0695241 4.97543096542
36 194.291844743 244.913072304 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1001.95815526 2.66081905365
37 81.2515060748 116.90390286 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -2108.74849393 3.04334402084
38 171.197017653 304.890190137 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 2565.19701765 2.2243180275
39 86.9732339529 83.2308002725 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 -2601.02676605 2.14186501503
40 326.282522933 257.226254214 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -795.717477067 3.12440299988
