trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 238.161543484 189.890488283 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 5615.66154348 5.98651599884
2 221.639763048 300.950938773 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 221.639763048 0.0
3 189.792405691 50.9589797207 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 3917.29240569 4.14963412285
4 310.61928177 113.159777661 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1628.13071823 4.31691098213
5 130.176022424 358.209734635 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3637.82397758 5.24088597298
6 227.926915653 224.636234417 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 1607.92691565 3.06894898415
7 147.964635593 230.752754446 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -801.535364407 3.52321386337
8 265.851050808 68.0146196 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2763.35105081 4.63367605209
9 25.5898310406 194.596109362 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 1773.08983104 3.88470411301
10 144.820587089 86.1362647449 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -2405.17941291 2.83537316322
11 181.735599629 165.591763083 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -2986.26440037 3.20756196976
12 124.202175451 223.166402447 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 893.702175451 2.851375103
13 359.922645842 119.403667838 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -2422.57735416 3.09972405434
14 81.0052925067 122.376368387 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1686.00529251 4.46575284004
15 344.301568771 85.0136701026 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1652.30156877 3.63405609131
16 283.279437087 119.841848804 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 9999 9999
17 86.0313305379 131.056011339 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 2853.53133054 3.4190530777
18 267.391485656 139.52857657 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -1759.10851434 3.21845602989
19 319.427178814 346.577405073 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 2617.42717881 3.19947004318
20 51.8222851498 197.383781265 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -1869.67771485 3.56557917595
21 281.772145373 253.34374119 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 3194.02214537 2.94948601723
22 18.1578064981 302.291102553 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 4243.6578065 5.21893382072
23 246.466074163 168.92302617 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -867.283925837 4.13203001022
24 254.752001905 142.579821159 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 3183.5020019 2.96524906158
25 208.779985088 312.553131719 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3586.77998509 4.6986720562
26 232.016600891 204.126979684 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1417.76660089 4.3932929039
27 49.1849981919 308.570064284 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2038.18499819 3.69003605843
28 358.116182335 343.998057828 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -3758.63381767 4.16548204422
29 289.749843475 303.645726461 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -4239.50015653 5.59964799881
30 302.701302391 154.246224791 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 3006.45130239 4.29903912544
31 97.941376054 228.376247021 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -1711.05862395 3.35819005966
32 128.779761217 94.5021542626 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -2338.72023878 3.9248957634
33 178.642156578 77.4293634779 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -769.357843422 2.64092612267
34 52.9072070439 49.6411854595 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1171.09279296 3.40083813667
35 211.97248223 75.018255932 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1310.52751777 3.38472700119
36 219.278587011 44.4383283099 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -2710.22141299 3.62418699265
37 243.350017524 261.087212129 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -3147.39998248 3.43279695511
38 167.837816905 295.562986019 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1484.83781691 3.66680216789
39 177.821313299 237.863915478 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 4261.5713133 4.12648105621
40 296.893396866 340.747982375 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -2118.10660313 5.36729001999
41 215.440103796 338.91543643 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -1953.5598962 4.0251698494
42 11.0684208813 297.814524568 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 2567.06842088 3.55745983124
43 3.49037721043 101.827177459 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 3337.99037721 4.12544393539
44 89.1776483319 345.371261817 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 1919.17764833 2.54359197617
45 192.445918197 8.40070063273 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1893.4459182 4.72731304169
46 157.927023833 184.911589845 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -3818.57297617 4.0245320797
47 341.212537348 224.165206327 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -4059.78746265 5.44164395332
48 347.471592213 129.258406857 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 3617.47159221 3.6403439045
49 20.2795006952 146.927363547 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -3002.2204993 3.36612200737
50 272.844210549 169.80625841 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -2569.65578945 3.16571998596
51 272.954254969 339.279588047 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1071.04574503 3.74085021019
52 81.6830415984 78.5085652702 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -2543.3169584 4.1734380722
