trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 165.036882733 301.745806641 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 844.536882733 2.52768087387
2 185.818144344 319.906936863 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 2840.81814434 2.95870089531
3 72.2260453359 9.0908818352 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1442.77395466 3.37375712395
4 39.8860692292 268.883221442 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 1956.88606923 3.55797600746
5 317.622148372 267.769289064 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -2693.62785163 3.0439889431
6 302.484552115 165.666098418 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -2620.26544789 3.61619901657
7 8.86086040246 242.507388517 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1554.8891396 3.48263406754
8 314.480708235 280.441905779 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -1476.51929176 3.32394504547
9 200.038329129 270.044763302 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1367.03832913 3.2426700592
10 211.67810037 229.249535964 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 2299.67810037 2.90751791
11 213.013541128 186.348560226 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 1488.01354113 2.84080314636
12 49.1583009287 269.939524662 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2002.84169907 3.80138397217
