trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 100.841548029 315.734595719 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 1686.34154803 2.52888298035
2 79.3925843395 219.6694748 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 955.392584339 2.44158697128
3 31.32730722 102.544608662 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 1400.07730722 3.04929018021
4 351.857322478 215.519410024 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1583.14267752 4.30752897263
5 103.277056206 137.787399311 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 2784.52705621 2.71557402611
6 206.025251133 23.0732420121 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -3770.47474887 4.01692414284
7 222.977514529 259.752699383 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2165.77248547 3.79388999939
8 339.63889847 268.360685076 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2840.88889847 5.56640195847
9 318.544006567 151.328935698 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -1980.95599343 4.26694393158
10 42.2210005574 66.0569934103 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -878.028999443 3.4166829586
11 58.6200044139 10.8863576474 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 1095.87000441 3.84934902191
12 289.660512508 191.09889401 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 3637.66051251 3.10857200623
13 161.114734753 212.126366041 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -2871.88526525 2.81612205505
14 209.873862808 273.1698099 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 -2520.12613719 2.33462190628
15 55.6283257447 235.977818824 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 -2869.37167426 2.50721001625
16 216.777979779 156.372605404 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -2873.22202022 3.44118094444
17 302.381754883 307.034995477 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -2361.61824512 3.70756196976
18 347.91266648 269.738249472 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 3136.41266648 2.39191794395
19 2.41576192096 193.757305661 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -875.084238079 3.25847482681
20 294.227852215 161.400567094 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 2896.72785221 2.89923787117
21 356.62988411 322.88480832 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -2493.37011589 3.96051120758
22 173.616496799 221.421073244 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 2462.6164968 3.64098501205
23 160.330750223 2.91051873633 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 -2958.16924978 2.48198914528
24 120.434350113 182.763334364 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 5370.43435011 4.17506122589
25 48.1503262748 329.844414652 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2635.65032627 4.79826712608
26 214.489710104 290.739589633 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -1212.0102899 2.64826607704
27 208.41393009 208.857421394 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 -3970.58606991 3.31832718849
28 353.309231765 20.9394348059 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -3132.69076823 5.54185390472
29 58.1582219996 280.726830282 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1351.841778 3.91752505302
30 226.643072908 45.9314480526 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4351.64307291 4.59208917618
31 30.253529573 233.621568926 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -3945.49647043 4.9108440876
32 121.705109254 171.593609399 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 3577.70510925 4.27390003204
33 310.28902466 192.06598092 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 3469.28902466 5.85660099983
34 337.459784341 91.2168118042 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1144.54021566 4.11635303497
35 80.1443930265 56.2066143114 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -2485.60560697 2.60022592545
36 229.061398409 324.108586742 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 3589.06139841 2.66808199883
37 343.463604635 168.526991496 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1405.46360464 2.95666003227
38 268.499125846 54.3399949873 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 3518.99912585 3.28470516205
39 256.891059291 351.766843374 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -2236.10894071 2.31640911102
40 157.144079803 170.981332071 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 2947.1440798 3.87687206268
41 135.57423757 301.542847392 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 2904.57423757 2.37308096886
42 62.2216236402 145.037398182 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -4475.27837636 5.04931616783
43 83.5589067114 320.268289483 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1112.69109329 2.66065001488
44 161.508741443 196.935524101 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -1681.24125856 2.28364086151
45 106.49891318 262.425056199 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 1996.49891318 2.34174394608
46 315.114220293 102.218301017 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 994.614220293 2.52428007126
