trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 213.051331357 147.692407935 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -1872.69866864 2.58668684959
2 134.826700407 195.973366221 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -2841.17329959 4.14113378525
3 112.616429789 28.5322057819 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -3140.88357021 4.02320408821
4 286.114543857 203.3951211 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2119.86454386 4.07586407661
5 219.891719825 349.475143338 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 2115.14171982 3.01604986191
6 128.276782641 324.42091323 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1055.27678264 2.58273911476
7 160.192095678 120.500513846 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1388.55790432 3.44905400276
8 286.599901787 167.720061196 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 2656.59990179 2.64204096794
9 264.880740114 169.064785619 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -2540.11925989 3.1244289875
10 256.493942927 318.029152668 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 3605.99394293 3.39059209824
11 103.236974342 242.99820985 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -1561.01302566 2.64295291901
12 306.189478204 250.003408775 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -4231.3105218 4.59066510201
13 147.522525999 34.0805344897 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -797.477474001 2.63253998756
14 121.355335836 181.243127881 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -3030.14466416 3.1908159256
15 342.293821111 229.773313772 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2731.79382111 4.42773795128
16 108.26587528 33.4648143097 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -636.48412472 2.76631498337
17 304.077951918 160.234288114 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 2626.07795192 3.22716498375
18 161.352137561 3.07291320653 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 3477.85213756 3.35755586624
19 295.875300801 165.805793054 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -1297.1246992 2.95708203316
20 333.110545316 271.610448557 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 2349.11054532 3.20751404762
21 208.382170182 264.167191869 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 3779.13217018 4.4160130024
22 275.94605697 227.032787906 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1271.94605697 2.77462601662
23 78.6297941638 213.412257226 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 902.129794164 3.05059194565
24 177.855726565 341.917797493 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -3647.14427344 4.25740003586
25 322.458450245 27.3011083652 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -1558.54154976 3.49202084541
26 342.205116624 269.921978602 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 3657.20511662 3.69203305244
27 352.26768335 125.58531178 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2264.76768335 4.25775003433
28 217.950145773 180.906430853 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -515.549854227 2.72454285622
29 80.7652678107 239.386790542 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1040.48473219 2.49924397469
30 33.5927841883 48.8598513189 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2760.59278419 5.0578520298
31 234.652943056 59.7629827322 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -2710.59705694 4.68348002434
32 80.6252775362 206.823469875 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 2058.37527754 2.44973897934
33 331.640707378 60.7759424423 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -1666.35929262 2.77660012245
34 106.261904929 190.188604889 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 2644.26190493 3.53266596794
35 14.5191264638 312.787333325 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1158.48087354 3.26550912857
36 261.577732249 198.026945483 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 950.077732249 2.55230402946
37 99.2576621218 342.490363102 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4696.75766212 5.11659383774
38 295.098524361 184.74210666 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 1746.34852436 3.23206210136
39 90.9123172283 300.229217575 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1907.83768277 4.44997596741
40 320.611890165 173.878670431 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 1774.11189016 2.69892096519
41 212.209139973 225.694951678 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -4061.29086003 4.32427597046
42 220.526374964 61.1635186264 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 4533.02637496 4.79918694496
43 63.0030714332 256.693431575 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -611.996928567 2.50742602348
44 245.092382332 207.811821022 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1064.09238233 3.04014611244
45 100.693008642 144.184309264 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -2457.55699136 3.16628694534
46 124.535618971 201.56858111 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -4030.46438103 4.62387299538
47 209.817157174 224.627162045 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -786.182842826 2.77539014816
48 241.220179555 178.904730475 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -718.779820445 2.67470121384
49 200.358421759 92.3388909562 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 4457.35842176 4.30680203438
50 226.273291384 226.05404242 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -498.226708616 2.68582987785
51 314.090609389 17.749583151 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2967.15939061 5.21489405632
52 185.462679864 123.190414751 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 1589.46267986 2.60795378685
53 110.422984553 170.350993268 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3153.57701545 4.54100990295
54 80.187460336 20.4338656561 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 4312.43746034 5.23284602165
