trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response
1 148.100007272 148.459620663 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
2 356.575634702 311.249822268 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
3 315.228260292 228.990793155 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
4 198.659435318 65.7462256357 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
5 300.639175542 7.21060106749 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
6 344.610497537 155.360602174 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
7 257.535090131 46.2657903922 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
8 120.857429897 31.5860157945 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
9 159.756805232 253.637627795 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
10 159.272743138 167.215262197 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
11 140.240657029 240.111583738 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
12 4.16242134895 23.6200751986 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
13 111.65371927 31.1279019922 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
14 140.903770301 317.808781794 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
15 274.63515829 219.448078168 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
16 252.688312492 45.8273199211 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
17 40.2760323264 357.759884565 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
18 46.9248519225 321.874275606 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
19 139.562548954 206.200274646 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
20 355.899713956 0.345616216479 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 right
21 250.161511681 35.8168535219 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
22 154.232202987 292.233038939 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
23 118.794592589 27.8156207122 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
24 74.7199840613 336.729682901 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
25 332.505973564 97.307656789 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
26 204.651080315 130.359263304 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
27 213.844091374 199.314909141 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 right
28 160.642811292 169.423582864 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
29 332.414640232 276.043741976 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
30 253.080237249 99.9889086594 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
31 83.5613298876 159.081669332 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
32 161.05472275 284.708853627 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
33 83.8681482674 3.19894783588 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
34 280.254425974 8.8910355883 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
35 67.7785954881 109.594605466 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 left
36 257.421388921 316.405698029 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 left
37 140.370046417 77.205958822 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 left
38 2.18782514029 180.294377705 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
39 176.739094486 228.560604918 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
40 101.686666712 33.3410744107 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
41 267.527113006 232.822795252 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
42 216.22361212 129.959090227 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 left
43 175.865706779 111.359428179 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
44 94.9034486348 215.254709929 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
45 81.6094935474 294.798934879 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
46 355.990942822 27.7566329553 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
47 91.4253219638 129.881831644 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
48 153.466867312 241.421360155 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
49 166.086352311 33.4657705902 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
50 62.3367545895 185.830259938 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
51 195.915704139 150.348819192 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
52 9.39830015279 40.9086810014 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
53 226.994487989 11.0452269355 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
54 122.464596793 10.7168815052 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
55 53.7084535488 264.194024734 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 right
56 329.720835383 233.506286989 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
57 269.365731065 227.42117019 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 left
58 240.472722051 48.9008826707 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
59 41.6089356013 342.33911405 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
60 270.846977252 217.598117051 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
61 277.507860181 308.756757538 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
62 56.6545937295 68.5371130449 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
63 12.0483719523 270.161772448 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
64 80.5280035793 202.594036085 -1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 left
65 172.867339895 3.60209997063 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
66 135.28990644 189.33684097 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
67 102.369191618 37.3566059785 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
68 301.383412504 38.1640177586 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 right
69 92.3346870341 135.02381785 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 right
70 186.50517335 31.2918939073 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
71 68.4499800295 236.973707627 1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 right
72 263.922739017 178.752925022 1 90.0 0.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 left
73 208.893305642 9.71066005659 -1 90.0 0.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 left
