trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 355.460024723 120.609880594 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 3605.96002472 3.29372811317
2 67.5796840264 252.749083067 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2475.07968403 4.4609439373
3 202.378867082 219.352935393 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 -3629.37113292 3.2817928791
4 246.928487359 25.5623391518 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 4347.17848736 4.15045881271
5 220.634601658 151.633447649 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2393.86539834 4.84444618225
6 212.122148184 226.078353035 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -2676.87785182 2.68173384666
7 78.4182529542 344.942963173 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 3773.66825295 3.16696715355
8 21.0354359472 268.542249876 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3278.96456405 4.59189295769
9 253.965040818 141.358693597 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1023.46504082 2.85068202019
10 358.909452453 235.574121432 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -817.090547547 3.27348899841
11 37.3890222418 216.17279241 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 2363.13902224 3.70036196709
12 129.42168525 139.773263378 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -1855.07831475 3.68162512779
13 137.872929546 67.4884573577 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1160.87292955 2.85017418861
14 40.1024495699 144.846759916 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -2767.89755043 2.60093688965
