trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 296.781307017 344.721981913 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 1425.53130702 2.51769399643
2 155.001046783 184.617101878 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 -5187.99895322 4.57446694374
3 29.2690692157 73.7927727729 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -981.730930784 2.80972480774
4 157.436363491 29.1754927146 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -2437.56363651 2.89088606834
5 144.69553468 48.8934423403 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 1105.44553468 3.56666493416
6 186.839400473 184.993979141 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 2706.83940047 3.50858688354
7 306.648142596 128.951450711 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -3183.1018574 3.53357410431
8 263.806715887 334.511178304 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 None None
9 336.887846558 210.204165695 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -473.112153442 3.00852298737
10 115.155571807 44.0020588653 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4022.65557181 4.34941196442
11 33.7187744585 101.629748164 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -1352.28122554 2.56973290443
12 117.787129391 180.043658705 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -1623.71287061 3.23344397545
13 8.5951788222 158.223874016 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 4042.84517882 4.08311200142
14 244.667642509 352.680016794 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -3211.33235749 3.20036411285
15 165.45721122 6.83735039788 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1818.29278878 4.41668391228
16 315.212841723 149.75005367 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2435.78715828 4.3683412075
17 291.846869406 220.493476118 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -647.153130594 2.61646795273
18 127.129514454 122.630324925 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2750.62951445 4.86686301231
19 156.448212857 133.780307451 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 2161.94821286 3.18390583992
20 353.755914924 184.274252227 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 4700.75591492 5.37516903877
21 167.819785791 250.213445046 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -4369.68021421 4.59107899666
22 292.648321552 30.5589416185 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1856.10167845 4.78386688232
23 245.002316388 175.198522251 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 7091.00231639 5.44109392166
24 313.955495394 102.5222385 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 6943.95549539 5.6739962101
