trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 18.2419794377 274.472870205 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 None None
2 170.959102731 321.827064626 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 3957.70910273 4.67764306068
3 258.417447348 356.78424251 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 None None
4 355.117711992 193.532227732 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 421.117711992 0.190948963165
5 168.292021697 352.066170996 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2040.2920217 3.47556114197
6 28.9675758986 159.555073708 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 881.717575899 3.16586899757
7 75.4624757598 320.348610233 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 None None
8 285.499173618 94.8195329651 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -2837.50082638 5.79097795486
9 86.3067845515 151.92641456 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 2948.30678455 3.98367285728
10 247.910110669 354.386762744 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -933.339889331 2.62701296806
11 346.781644587 350.279329433 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 261.281644587 0.164975881577
12 193.719248929 335.640469104 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2596.71924893 4.45064806938
13 104.5301582 6.76806234019 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -2650.9698418 2.79204797745
