trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response
1 322.720778396 215.873480393 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 right
2 54.5151269797 264.7446881 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 left
3 33.6957423464 268.024636784 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 right
4 222.745854251 53.6420673926 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 right
5 239.28110978 84.4776077596 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 right
6 80.1889139266 173.376860503 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 right
7 176.944201416 264.821875339 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 left
8 219.926625894 346.24081709 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 left
9 252.43880714 207.204630096 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 right
10 147.877881706 162.121534715 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 right
11 266.846668626 218.904342453 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 right
12 338.560261429 35.6114797007 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
13 147.966494994 33.541711699 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 left
14 19.6724173596 343.155825712 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
15 81.268602057 47.127163575 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 left
16 260.359108977 111.991387134 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 left
17 355.477916488 299.968123006 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 left
18 14.0595714739 346.542467581 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 right
19 180.062620149 74.530155011 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 left
20 350.599799165 6.49380559767 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 right
21 213.195680631 216.134655796 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
22 89.958228801 226.464195752 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 right
23 172.205807789 80.9098724801 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
24 345.087252035 182.83579834 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 left
25 60.4055531461 211.390757789 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 left
26 58.8006436928 192.17096479 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 left
27 126.733323846 116.776522056 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 right
28 177.965451703 211.094913516 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 left
29 31.3895725537 334.040821732 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 right
30 237.007934222 37.8468505336 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 right
31 239.836874872 337.598122186 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 right
32 164.270290783 349.712911062 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
33 192.787976313 232.145748649 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 right
34 136.442399264 123.394582422 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 left
35 100.653265005 37.4942336633 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 right
