trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 326.601561464 91.2001810174 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -438.398438536 2.83778595924
2 68.5277379009 248.022526745 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -2087.7222621 4.79366517067
3 314.921218049 2.4648887177 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -2547.82878195 2.90035414696
4 217.561171179 119.009658008 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 3150.06117118 3.26604700089
5 305.906842321 302.208444976 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -2551.59315768 3.18343186378
6 59.2828656797 112.435674608 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 2752.53286568 3.33305692673
7 356.555781567 179.504809385 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 3338.55578157 4.74152994156
8 81.9615843462 13.0851876414 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2663.78841565 4.3660068512
9 71.7444559118 295.619891637 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -2658.25554409 3.04123806953
10 270.981022292 30.8769678744 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -2186.01897771 3.04151296616
11 215.463403475 188.644185786 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1134.53659653 3.00204515457
12 182.394164666 208.149438313 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -3267.60583533 4.79344320297
13 87.679346587 74.1692371627 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1500.67934659 3.93263483047
14 160.518738327 135.779491965 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -2501.23126167 4.23245620728
15 267.175643766 356.688004788 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 3642.17564377 4.16754889488
16 111.971231283 182.502714223 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2798.47123128 4.97756385803
17 37.8218185425 271.885903652 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 3907.82181854 4.30751895905
18 217.970731525 212.648226708 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -2356.02926848 4.77556800842
19 68.6801089936 187.626365199 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2397.43010899 5.18257713318
20 240.875498833 309.775347556 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -3917.12450117 4.20695185661
21 355.666369437 5.73728121243 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 4043.41636944 3.73274087906
22 5.73630136803 69.1470038195 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1401.26369863 3.91627383232
23 259.439677586 338.334991131 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3622.56032241 5.39885592461
24 235.946993587 202.654965846 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 3103.94699359 3.99095892906
25 78.8349240942 90.4220635223 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -591.665075906 2.49026989937
