trial angleIni angleLandmark direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same radius duration durationRampingLand freq size response responseTime
1 195.895803326 197.144112748 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 1309.64580333 2.48047399521
2 282.474981787 172.764930707 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 2980.22498179 2.73286509514
3 225.561154072 225.372788146 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 -2818.68884593 3.76693201065
4 257.011409705 141.654535793 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 1764.51140971 3.35850405693
5 159.137505596 305.637478742 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 -2608.3624944 3.08295106888
6 323.818525394 90.0432347543 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 3226.31852539 3.23260211945
7 47.3854461351 66.0417608166 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 2677.63544614 4.18342208862
8 239.105492335 246.700841579 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 -3372.89450766 5.02460312843
9 9.59134060043 46.0813470643 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -2413.6586594 2.99897098541
10 314.875434508 224.659289145 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 -3669.87456549 4.02614402771
11 303.499835639 249.632956522 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 1662.49983564 3.78380084038
12 201.819254446 145.202875796 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -1724.18074555 3.57438397408
13 26.1013608017 70.5367103891 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 4257.6013608 3.36544108391
14 341.68693869 4.35724874024 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 1255.18693869 3.39154696465
15 345.131001786 124.421220164 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 0.75 3.0 -581.868998214 3.44061088562
16 25.6305819232 179.175304141 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 3191.38058192 3.91604995728
17 132.582383283 133.316365298 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 -2977.66761672 2.66598010063
18 74.7198138227 138.362437175 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.75 3.0 -2634.28018618 4.30809783936
19 6.0576829676 79.43935498 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 2911.55768297 2.49054098129
20 181.546647977 139.297651862 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 -1477.45335202 4.60923600197
21 115.362162909 32.4620430718 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 5281.36216291 4.10823082924
22 71.0951950053 220.127691461 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 3602.09519501 3.56768202782
23 291.910447466 42.5710298669 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 4107.91044747 5.30802297592
24 193.629386803 282.82192854 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -2037.6206132 4.96025204659
25 141.530299996 9.03447336801 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.25 3.0 3719.0303 4.425137043
26 252.071689973 178.524528049 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.0 3.0 -1256.92831003 4.20014691353
27 165.084600052 156.656955375 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 3171.08460005 2.79062509537
28 270.339518689 66.2770957697 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 2512.08951869 3.55981183052
29 11.9393799163 66.9793090712 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2441.93937992 4.50741791725
30 212.56607191 229.31716503 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 -3745.93392809 3.14273285866
31 357.860071758 5.2993543623 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 4335.86007176 3.40826392174
32 41.8542096061 94.5078820459 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 2629.35420961 4.79998707771
33 347.015719611 287.995446706 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 -2897.48428039 2.57581806183
34 315.16584409 39.8665027727 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1222.33415591 3.42476391792
35 46.1257426816 176.452135984 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 -2545.87425732 3.60689306259
36 233.411152295 29.6696742344 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 4382.4111523 3.84907102585
37 198.432853124 192.701774789 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 -3779.56714688 3.69215106964
38 161.018444038 88.6967246872 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.5 3.0 4548.51844404 4.88196206093
39 140.443766216 149.338745517 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -3207.55623378 3.10238313675
40 89.3654086649 193.042535812 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.0 3.0 1634.36540866 4.29874491692
41 256.16952352 313.141610505 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 -2439.33047648 4.99937987328
42 198.496204901 68.1756298118 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1145.7462049 3.50998497009
43 356.695228255 2.22320424026 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.75 3.0 -2310.30477174 4.24097204208
44 37.2944189767 219.823232096 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -4087.70558102 4.59092998505
45 156.966326139 149.499351747 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 -916.283673861 3.98395705223
46 38.5946812296 218.513670145 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 2912.59468123 3.99854493141
47 110.584692748 62.6239530147 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -3931.91530725 4.08533096313
48 259.172366202 122.791915552 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 -4908.3276338 4.42550110817
49 62.4085507361 293.137609903 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.75 3.0 4360.65855074 4.36611604691
50 17.4754897143 200.553370149 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 0.75 3.0 1101.97548971 4.02436685562
51 332.678047334 95.591467401 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.75 3.0 -3049.82195267 3.42426013947
52 354.361144411 198.024625239 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.5 3.0 6244.86114441 4.67741012573
53 298.018249038 68.069933408 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.25 3.0 5163.26824904 4.16711902618
54 281.542949942 146.773425609 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 2647.79294994 5.259786129
55 130.917126097 115.095239161 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.25 3.0 -4929.3328739 4.33372211456
56 150.49995989 256.002310168 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 -1552.00004011 3.79169297218
57 116.255624714 67.8867429874 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.5 3.0 4662.75562471 3.61573290825
58 137.266297088 62.9243682285 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.5 3.0 -4977.73370291 5.69065403938
59 158.363176434 358.241605132 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.25 3.0 -1765.38682357 4.28369283676
60 2.42575400022 79.8121709576 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.25 3.0 -2920.324246 3.6106698513
61 325.333752316 270.986640184 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.25 3.0 2560.33375232 4.97423100471
62 58.0337313282 57.6822862564 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 1.5 3.0 -1543.96626867 2.97394299507
63 231.328666703 135.047524443 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 1.5 3.0 2269.8286667 3.78178715706
64 162.344926003 58.8544976547 1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 2.0 3.0 2802.344926 3.6751601696
65 51.0126769518 315.350895724 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 3.0 3.0 5874.01267695 5.39400005341
66 165.085732846 137.241459959 1 90.0 120.0 3.0 6.5 90.0 120.0 False 4.0 180.0 120.0 2.0 3.0 3033.08573285 3.99152302742
67 102.679672139 341.637448752 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 4.0 180.0 120.0 3.0 3.0 -5243.32032786 4.95801210403
